Country,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Japan,17.23945,18.65963,16.91342,15.85286,14.41714,13.47138,13.14442,13.60945,13.2138,13.42681,13.55417,13.8193,14.50057,19.48383,19.21572,18.35094,17.73354,18.02855,19.64956,18.53678,18.94693,21.6,22.1,21.8,22.2,21.2
South Korea,9.882329,9.032893,8.468999,7.340459,7.436526,7.594887,7.238297,8.208565,9.543824,9.590639,10.65248,12.66524,12.823,17.89061,14.63078,13.15629,13.95559,17.10887,21.20205,21.88241,22.40456,26.2,28.7,29,33.8,33.5
United States,11.44829,11.84603,11.65775,11.39492,11.25343,11.45217,11.2965,11.05505,11.18842,11.12714,11.05877,10.77281,10.52044,10.38139,9.817642,9.532645,9.811729,9.95536,9.815033,10.02633,9.927033,11.3,11.7,11.9,12.1,12.5
