year,info
1985,
1986,
1987,Korean Air Flight 858
1988,
1989,
1990,
1991,
1992,
1993,
1994,
1995,
1996,
1997,Asian financial crisis
1998,
1999,
2000,
2001,
2002,
2003,Iraq War
2004,
2005,
2006,
2007,
2008,Subprime mortgage crisis
2009,President Roh's suicide
