age,5_14,15_24,25_34,35_44,45_54,55_64,65_74,75,All
males,39,549,1260,1778,2270,1527,1498,1006,9936
females,42,460,1122,990,790,505,647,920,5477
total,81,1009,2382,2768,3060,2032,2145,1926,15413
