lat,lon,alt,date,device,os,version
40.7662129,-73.9197271,0,9/15/13 16:15,samsung d2att,4.1.1,1
40.7639786,-73.9228998,0,9/15/13 16:25,samsung d2att,4.1.1,1
40.7658852,-73.9192539,0,9/15/13 16:35,samsung d2att,4.1.1,1
40.7671128,-73.9210902,0,9/15/13 17:35,samsung d2att,4.1.1,1
40.7652142,-73.9750366,0,9/15/13 17:55,samsung d2att,4.1.1,1
40.7648981,-73.9806141,0,9/15/13 18:05,samsung d2att,4.1.1,1
40.7610355,-73.9828879,0,9/15/13 18:15,samsung d2att,4.1.1,1
40.7618575,-73.9793389,0,9/15/13 18:45,samsung d2att,4.1.1,1
40.7611699,-73.9757937,0,9/15/13 18:55,samsung d2att,4.1.1,1
40.7633048,-73.9830115,0,9/15/13 20:15,samsung d2att,4.1.1,1
40.764209,-73.9823928,0,9/15/13 20:25,samsung d2att,4.1.1,1
40.7633048,-73.9830115,0,9/15/13 20:45,samsung d2att,4.1.1,1
40.7645793,-73.9821297,0,9/15/13 20:55,samsung d2att,4.1.1,1
40.7668038,-73.9843157,0,9/15/13 21:05,samsung d2att,4.1.1,1
40.765744,-73.9800861,0,9/15/13 21:15,samsung d2att,4.1.1,1
40.7701551,-73.9184812,0,9/16/13 0:25,samsung d2att,4.1.1,1
40.7778379,-73.9197357,0,9/16/13 0:45,samsung d2att,4.1.1,1
40.7741624,-73.9129792,0,9/16/13 13:04,samsung d2att,4.1.1,1
40.7226988,-74.0077405,0,9/16/13 15:54,samsung d2att,4.1.1,1
40.7313226,-73.9966953,0,9/16/13 17:04,samsung d2att,4.1.1,1
40.7306216,-73.9949942,0,9/16/13 17:14,samsung d2att,4.1.1,1
40.7296379,-73.9936139,0,9/16/13 17:24,samsung d2att,4.1.1,1
40.7314659,-73.9944244,0,9/16/13 21:54,samsung d2att,4.1.1,1
40.7295329,-73.9935699,0,9/16/13 22:34,samsung d2att,4.1.1,1
40.75180258,-73.94031079,273.8999939,9/17/13 1:35,samsung d2att,4.1.1,1
40.7778434,-73.9197449,0,9/17/13 2:04,samsung d2att,4.1.1,1
40.7742074,-73.9129991,0,9/17/13 2:34,samsung d2att,4.1.1,1
40.7778671,-73.9198644,0,9/17/13 2:54,samsung d2att,4.1.1,1
40.7778126,-73.9197442,0,9/17/13 3:04,samsung d2att,4.1.1,1
40.7711897,-73.9154492,0,9/17/13 12:34,samsung d2att,4.1.1,1
40.7606716,-73.9825457,0,9/17/13 12:54,samsung d2att,4.1.1,1
40.7299052,-73.9929518,0,9/17/13 13:05,samsung d2att,4.1.1,1
40.7300911,-73.9939826,0,9/17/13 13:14,samsung d2att,4.1.1,1
40.7297321,-73.9937358,0,9/17/13 17:34,samsung d2att,4.1.1,1
40.7296375,-73.9936103,0,9/17/13 19:54,samsung d2att,4.1.1,1
40.7294981,-73.9933944,0,9/17/13 22:23,samsung d2att,4.1.1,1
40.7764836,-73.914689,0,9/18/13 2:03,samsung d2att,4.1.1,1
40.7778457,-73.9197359,0,9/18/13 2:23,samsung d2att,4.1.1,1
40.7778271,-73.9197417,0,9/18/13 3:13,samsung d2att,4.1.1,1
40.7758535,-73.915056,0,9/18/13 14:13,samsung d2att,4.1.1,1
40.7695589,-73.918949,0,9/18/13 14:23,samsung d2att,4.1.1,1
40.7297193,-73.9935367,0,9/18/13 14:52,samsung d2att,4.1.1,1
40.7294918,-73.9934152,0,9/19/13 1:52,samsung d2att,4.1.1,1
40.7332165,-73.9912188,0,9/19/13 2:32,samsung d2att,4.1.1,1
40.7540623,-73.9319054,0,9/19/13 3:02,samsung d2att,4.1.1,1
40.7740782,-73.9130126,0,9/19/13 3:12,samsung d2att,4.1.1,1
40.7764836,-73.914689,0,9/19/13 3:22,samsung d2att,4.1.1,1
40.7778295,-73.9197308,0,9/19/13 3:32,samsung d2att,4.1.1,1
40.77613177,-73.91553936,-17.89999962,9/19/13 12:41,samsung d2att,4.1.1,1
40.775843,-73.9150701,0,9/19/13 12:42,samsung d2att,4.1.1,1
40.774074,-73.9129815,0,9/19/13 12:52,samsung d2att,4.1.1,1
40.7488228,-73.9372624,0,9/19/13 13:02,samsung d2att,4.1.1,1
40.7293555,-73.9933982,0,9/19/13 13:32,samsung d2att,4.1.1,1
40.7300815,-73.9940235,0,9/19/13 16:12,samsung d2att,4.1.1,1
40.7302187,-73.9926064,0,9/19/13 16:22,samsung d2att,4.1.1,1
40.7297952,-73.9968775,0,9/19/13 16:32,samsung d2att,4.1.1,1
40.7300134,-73.9965956,0,9/19/13 17:22,samsung d2att,4.1.1,1
40.729492,-73.9933744,0,9/19/13 19:12,samsung d2att,4.1.1,1
40.7300963,-73.9938517,0,9/19/13 21:22,samsung d2att,4.1.1,1
40.7299855,-73.99219,0,9/19/13 22:52,samsung d2att,4.1.1,1
40.7296653,-73.993631,0,9/19/13 23:12,samsung d2att,4.1.1,1
40.7304083,-73.9799451,0,9/20/13 4:12,samsung d2att,4.1.1,1
40.7523213,-73.9355753,0,9/20/13 5:12,samsung d2att,4.1.1,1
40.7740764,-73.9129856,0,9/20/13 5:22,samsung d2att,4.1.1,1
40.7784538,-73.9193914,0,9/20/13 5:32,samsung d2att,4.1.1,1
40.7488349,-73.937258,0,9/20/13 13:11,samsung d2att,4.1.1,1
40.7234632,-74.0030924,0,9/20/13 17:21,samsung d2att,4.1.1,1
40.7225964,-74.0009555,0,9/20/13 17:41,samsung d2att,4.1.1,1
40.7249486,-74.00155,0,9/20/13 17:51,samsung d2att,4.1.1,1
40.7233092,-74.0081343,0,9/20/13 18:21,samsung d2att,4.1.1,1
40.7224074,-74.0048863,0,9/20/13 21:21,samsung d2att,4.1.1,1
40.7216868,-74.0072988,0,9/20/13 21:51,samsung d2att,4.1.1,1
40.7232111,-74.0082297,0,9/20/13 22:01,samsung d2att,4.1.1,1
40.72146854,-74.00119407,297.5,9/20/13 22:32,samsung d2att,4.1.1,1
40.7298982,-73.9929604,0,9/20/13 22:41,samsung d2att,4.1.1,1
40.7639804,-73.9228737,0,9/20/13 23:11,samsung d2att,4.1.1,1
40.7749081,-73.912253,0,9/20/13 23:21,samsung d2att,4.1.1,1
40.7775799,-73.9173491,0,9/20/13 23:31,samsung d2att,4.1.1,1
40.777825,-73.9197416,0,9/20/13 23:41,samsung d2att,4.1.1,1
40.77785804,-73.91989128,71.5,9/21/13 3:12,samsung d2att,4.1.1,1
40.77558534,-73.91534366,46.5,9/21/13 17:22,samsung d2att,4.1.1,1
40.77798084,-73.92011273,16.29999924,9/21/13 17:52,samsung d2att,4.1.1,1
40.77576703,-73.91514054,1.899999976,9/21/13 18:42,samsung d2att,4.1.1,1
40.77780258,-73.91983557,17.79999924,9/21/13 18:52,samsung d2att,4.1.1,1
40.77725344,-73.91716096,-16.29999924,9/21/13 19:52,samsung d2att,4.1.1,1
40.77769784,-73.91996267,-64.40000153,9/21/13 20:02,samsung d2att,4.1.1,1
40.77503785,-73.91193564,10,9/21/13 20:33,samsung d2att,4.1.1,1
40.77016797,-73.9182312,9.300000191,9/21/13 20:42,samsung d2att,4.1.1,1
