Indicator,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,unit,reference
GDP,96.6197,111.3056,140.0056,187.4465,230.4731,263.777,308.185,329.8859,362.1357,423.4342,517.1181,557.6436,516.2829,345.4324,445.3993,533.384,504.5858,575.9289,643.7624,721.9753,844.863,951.7735,1049.2,931.4022,834.0604,0,$ Billion,World Bank
Suicide Rate,9.882329,9.032893,8.468999,7.340459,7.436526,7.594887,7.238297,8.208565,9.543824,9.590639,10.65248,12.66524,12.823,17.89061,14.63078,13.15629,13.95559,17.10887,21.20205,21.88241,22.40456,26.2,28.7,29,33.8,33.5,"people per 100,000",OECD
